supplier_id,supplier_name,material_id,material_name,uom,region,currency,lead_time_days,monthly_capacity,quality_ppm,otd_rate,payment_terms_days,single_source_risk_1to5,geopolitical_risk_1to5,qualification_status,synthetic_flag
S001,Supplier_S001_SG,M001,Silicon Wafer,wafer,SG,SGD,43,2544,275,0.9937,90,3,1,Qualified,True
S002,Supplier_S002_DE,M001,Silicon Wafer,wafer,DE,EUR,41,2645,179,0.9525,45,1,2,Conditional,True
S003,Supplier_S003_CN,M001,Silicon Wafer,wafer,CN,CNY,56,3588,318,0.9234,90,5,1,Qualified,True
S004,Supplier_S004_CN,M002,Photoresist,liter,CN,CNY,59,2699,174,0.9801,60,2,1,Qualified,True
S005,Supplier_S005_JP,M002,Photoresist,liter,JP,JPY,40,2131,296,0.901,90,5,3,Conditional,True
S006,Supplier_S006_KR,M002,Photoresist,liter,KR,KRW,51,2857,99,0.8874,30,4,3,Qualified,True
S007,Supplier_S007_KR,M003,Process Gas,cylinder,KR,KRW,62,683,158,0.9057,60,5,2,Qualified,True
S008,Supplier_S008_US,M003,Process Gas,cylinder,US,USD,68,611,160,0.8971,30,2,3,Conditional,True
S009,Supplier_S009_CN,M003,Process Gas,cylinder,CN,CNY,56,752,131,0.8836,60,2,1,Qualified,True
S010,Supplier_S010_JP,M004,CMP Slurry,liter,JP,JPY,38,4552,188,0.9183,60,3,2,Qualified,True
S011,Supplier_S011_KR,M004,CMP Slurry,liter,KR,KRW,24,5494,229,0.9568,60,4,3,Qualified,True
S012,Supplier_S012_DE,M004,CMP Slurry,liter,DE,EUR,58,5656,129,0.9807,60,3,3,Qualified,True
S013,Supplier_S013_CN,M005,PVD Target,piece,CN,CNY,54,84,157,0.9318,90,4,1,Conditional,True
S014,Supplier_S014_DE,M005,PVD Target,piece,DE,EUR,61,68,314,0.9798,30,1,3,Qualified,True
S015,Supplier_S015_SG,M005,PVD Target,piece,SG,SGD,61,87,43,0.897,30,5,2,Qualified,True
S016,Supplier_S016_DE,M006,Packaging Substrate,piece,DE,EUR,30,178448,201,0.9731,30,2,2,Qualified,True
S017,Supplier_S017_JP,M006,Packaging Substrate,piece,JP,JPY,20,189653,161,0.9631,90,5,3,Qualified,True
S018,Supplier_S018_KR,M006,Packaging Substrate,piece,KR,KRW,22,122663,176,0.9864,30,2,2,Qualified,True
S019,Supplier_S019_DE,M007,Lead Frame,kpcs,DE,EUR,65,183,167,0.9161,90,4,2,Qualified,True
S020,Supplier_S020_CN,M007,Lead Frame,kpcs,CN,CNY,38,138,229,0.9038,90,2,2,Qualified,True
S021,Supplier_S021_KR,M007,Lead Frame,kpcs,KR,KRW,46,189,203,0.9183,30,4,2,Qualified,True
S022,Supplier_S022_KR,M008,Specialty Chemical,liter,KR,KRW,20,4368,92,0.9136,90,4,2,Qualified,True
S023,Supplier_S023_DE,M008,Specialty Chemical,liter,DE,EUR,34,4145,134,0.9422,45,1,3,Qualified,True
S024,Supplier_S024_JP,M008,Specialty Chemical,liter,JP,JPY,56,4653,259,0.9581,30,2,2,Qualified,True
